Focal Offset,Speed,Power ,Rct 1,Rct 2,Rct 3,RCT 1-2,RCT 2-3,RCT 1-3,RCT Ave,ΔE1,ΔE2,ΔE3,ΔE 1-2,ΔE 2-3,ΔE 1-3,ΔE Ave,Δi1,Δi2,Δi3,Δi 1-2,Δi 2-3,Δi 1-3,Δi Ave
0,6,4,1094.1,655.95,834.26,40%,27%,24%,861.44,N/A,0.269,N/A,#VALUE!,#VALUE!,#VALUE!,0.269,N/A,1.48E-04,N/A,#VALUE!,#VALUE!,#VALUE!,0.00014821
0,7,4,756.67,746.03,792.67,1%,6%,5%,765.12,0.179,0.18,0.173,1%,4%,3%,0.177333333,0.00011394,0.00011616,0.00010459,2%,10%,8%,0.000111563
0,10,5,1203.5,1349,1319.6,12%,2%,10%,1290.7,0.288,0.204,0.2851,29%,40%,1%,0.259033333,0.00006712,0.00004371,N/A,35%,#VALUE!,#VALUE!,0.000055415
0,12,5,1185.7,1155.7,1070.6,3%,7%,10%,1137.33,N/A,0.216,0.218,#VALUE!,1%,#VALUE!,0.217,N/A,0.0000764,0.0000415,#VALUE!,46%,#VALUE!,0.00005895
1,1,1,1048.7,1083,1087.3,3%,0%,4%,1073,0.2,0.211,0.21,6%,0%,5%,0.207,0.00008986,0.00009069,0.00009038,1%,0%,1%,0.00009031
1,2,2,668.27,645.01,622.42,3%,4%,7%,645.23,0.162,0.159,0.153,2%,4%,6%,0.158,0.00010707,0.00010161,0.00010188,5%,0%,5%,0.00010352
1,4,4,490.31,486.24,450.76,1%,7%,8%,475.77,0.135,0.14,0.142,4%,1%,5%,0.139,0.00010854,0.00011575,0.00011081,7%,4%,2%,0.0001117
1,5,5,494.43,466.91,496.34,6%,6%,0%,485.89,0.146,0.137,0.147,6%,7%,1%,0.143333333,0.00012561,0.00012565,0.00012205,0%,3%,3%,0.000124437
1,7,5,503.31,493.52,525.91,2%,7%,4%,507.58,N/A,0.137,0.132,#VALUE!,4%,#VALUE!,0.1345,N/A,0.00012447,0.00010843,#VALUE!,13%,#VALUE!,0.00011645
1,9,5,560.66,554.1,552.87,1%,0%,1%,555.88,0.142,0.136,0.179,4%,32%,26%,0.152333333,0.00011732,0.00010432,0.00015879,11%,52%,35%,0.00012681
1,9,6,512.4,488.8,479.67,5%,2%,6%,493.62,0.126,0.125,0.137,1%,10%,9%,0.129333333,0.00007785,0.00009357,0.00011925,20%,27%,53%,0.00009689
1,10,6,535.46,532.73,553.68,1%,4%,3%,540.62,0.128,0.136,0.156,6%,15%,22%,0.14,0.00009414,0.00009008,0.00005108,4%,43%,46%,7.84E-05
1,11,6,605.13,587.23,577.73,3%,2%,5%,590.03,0.13,0.144,0.147,11%,2%,13%,0.140333333,0.00008729,0.00011039,0.00012025,26%,9%,38%,0.000105977
1,11,7,498.05,511.59,491.87,3%,4%,1%,500.5,0.137,0.139,0.145,1%,4%,6%,0.140333333,0.00012583,0.0001248,0.00014189,1%,14%,13%,0.00013084
1,12,7,569.35,689.83,611.15,21%,11%,7%,623.44,0.119,0.13,0.167,9%,28%,40%,0.138666667,0.00006744,0.00007409,0.0001348,10%,82%,100%,0.00009211
1,13,7,581.39,556.87,569.32,4%,2%,2%,569.19,0.155,0.143,0.137,8%,4%,12%,0.145,0.00013216,0.00012207,0.00011231,8%,8%,15%,0.00012218
1,11,8,491.87,499.49,417.17,2%,16%,15%,469.51,0.133,0.15,0.132,13%,12%,1%,0.138333333,0.00014404,0.00013458,0.0001448,7%,8%,1%,0.00014114
1,14,8,453.27,431.15,457.01,5%,6%,1%,447.14,0.113,0.124,0.133,10%,7%,18%,0.123333333,0.00009722,0.00012635,0.00013203,30%,4%,36%,0.000118533
1,17,8,487.41,440.09,549.53,10%,25%,13%,492.34,0.127,0.123,0.162,3%,32%,28%,0.137333333,0.00011554,0.00011908,0.00012153,3%,2%,5%,0.000118717
2,1,2,634.31,383.15,391.19,40%,2%,38%,469.55,0.171,0.137,0.132,20%,4%,23%,0.146666667,0.00011348,0.00013923,0.00012787,23%,8%,13%,0.00012686
2,2,3,325.11,315.71,347.66,3%,10%,7%,329.49,0.123,0.109,0.125,11%,15%,2%,0.119,0.00014075,0.00012509,0.00013628,11%,9%,3%,0.00013404
2,3,4,265.53,269.05,260.4,1%,3%,2%,264.99,0.107,0.112,0.114,5%,2%,7%,0.111,0.00015789,0.0001634,0.00017559,3%,7%,11%,0.000165627
2,4,4,307.2,272.64,272.19,11%,0%,11%,284.01,0.111,0.11,0.108,1%,2%,3%,0.109666667,0.00015156,0.0001635,0.00015462,8%,5%,2%,0.00015656
2,5,4,412.87,392,455.63,5%,16%,10%,420.17,0.122,0.122,0.131,0%,7%,7%,0.125,0.00012863,0.00013477,0.00012532,5%,7%,3%,0.000129573
2,6,5,329.83,332.83,342.17,1%,3%,4%,334.94,0.116,0.116,0.122,0%,5%,5%,0.118,0.0001487,0.00014342,0.00015663,4%,9%,5%,0.000149583
2,7,5,467.08,402.42,373.81,14%,7%,20%,414.44,0.135,0.126,0.123,7%,2%,9%,0.128,0.00012705,0.00014023,0.00014568,10%,4%,15%,0.000137653
2,8,6,422.86,422.86,462.84,0%,9%,9%,436.19,0.119,0.136,0.374,14%,175%,214%,0.209666667,0.00012021,0.00015383,0.0001364,28%,11%,13%,0.000136813
2,9,6,395.03,409.35,370.54,4%,9%,6%,391.64,0.125,0.119,0.121,5%,2%,3%,0.121666667,0.00013912,0.0001265,0.0001436,9%,14%,3%,0.000136407
2,8,7,218.92,246.69,N/A,13%,#VALUE!,#VALUE!,232.81,0.096,0.099,0.092,3%,7%,4%,0.095666667,0.0001569,0.00014409,0.00013277,8%,8%,15%,0.000144587
2,9,7,267.28,275.47,301.3,3%,9%,13%,281.35,0.104,0.106,0.112,2%,6%,8%,0.107333333,0.00015527,0.00016658,0.00015756,7%,5%,1%,0.000159803
2,10,7,259.02,213.35,214.88,18%,1%,17%,229.08,0.098,0.092,0.09,6%,2%,8%,0.093333333,0.00014068,0.00015102,0.0001444,7%,4%,3%,0.000145367
2,7,8,238.7,201.96,170.3,15%,16%,29%,203.65,0.104,0.098,0.088,6%,10%,15%,0.096666667,0.00017147,0.00018375,0.00017994,7%,2%,5%,0.000178387
2,6,9,177.59,198.81,197.29,12%,1%,11%,191.23,0.092,0.095,0.098,3%,3%,7%,0.095,0.0001783,0.00016948,0.00017106,5%,1%,4%,0.000172947
2,8,9,229,255.21,227.53,11%,11%,1%,237.25,0.102,0.104,0.097,2%,7%,5%,0.101,0.00016919,0.00015929,0.00015965,6%,0%,6%,0.00016271
2,7,10,212.1,206.78,208.83,3%,1%,2%,209.24,0.094,0.098,0.098,4%,0%,4%,0.096666667,0.00013719,0.00017324,0.00016111,26%,7%,17%,0.00015718
2,7,11,210.4,236.66,240.71,12%,2%,14%,229.26,0.094,0.106,0.106,13%,0%,13%,0.102,0.00015501,0.000171,0.00016752,10%,2%,8%,0.00016451
2,8,11,206.29,219.78,211.89,7%,4%,3%,212.65,0.095,0.097,0.095,2%,2%,0%,0.095666667,0.00016225,0.00015404,0.00013399,5%,13%,17%,0.000150093